monthly_salary,city,city_living_cost_index,goal_type,goal_cost,timeline_years,income_growth_rate,monthly_living_cost,disposable_income,monthly_investment_required,investment_to_income_ratio,verdict
33812380,Jakarta Pusat,2,Wedding,30000000,19,0.0656,7500000,26312380,332493,0.0126,green
7929845,Yogyakarta,6,Property,540000000,4,0.0823,4000000,3929845,11250000,2.0,red
16716747,Yogyakarta,6,Emergency Fund,24000000,25,0.0669,4000000,12716747,270908,0.0213,green
13564563,Yogyakarta,6,Emergency Fund,24000000,4,0.0757,4000000,9564563,607753,0.0635,green
18036620,Jakarta Selatan,1,Retirement,720000000,5,0.0606,8500000,9536620,15315379,1.606,red
20163465,Jakarta Utara,3,Custom,151923099,9,0.0998,6000000,14163465,2182246,0.1541,green
7072813,Medan,7,Property,486000000,27,0.1456,3500000,3572813,1500000,0.4198,yellow
7774081,Makassar,10,Emergency Fund,25200000,18,0.0981,4200000,3574081,280772,0.0786,green
18328012,Jakarta Selatan,1,Higher Education,200000000,7,0.0669,8500000,9828012,2380952,0.2423,green
47158551,Semarang,9,Retirement,3600000000,22,0.0439,3800000,43358551,39889919,0.92,red
52295644,Bali (Denpasar),8,Property,792000000,8,0.0725,6500000,45795644,8250000,0.1801,green
18710299,Semarang,9,Wedding,30000000,16,0.0964,3800000,14910299,341074,0.0229,green
20378428,Semarang,9,Emergency Fund,22800000,3,0.0623,3800000,16578428,733163,0.0442,green
12682341,Bali (Denpasar),8,Custom,374422966,3,0.0955,6500000,6182341,12040038,1.9475,red
17632211,Yogyakarta,6,Higher Education,120000000,8,0.0686,4000000,13632211,1250000,0.0917,green
42035975,Bali (Denpasar),8,Education,137519602,3,0.0616,6500000,35535975,3819989,0.1075,green
17387765,Surabaya,5,Retirement,2160000000,19,0.0661,5500000,11887765,23939528,2.0,red
7983652,Surabaya,5,Emergency Fund,33000000,11,0.1418,5500000,2483652,427585,0.1722,green
36576261,Surabaya,5,Emergency Fund,33000000,3,0.0586,5500000,31076261,1061156,0.0341,green
5917091,Medan,7,Retirement,1152000000,12,0.0988,3500000,2417091,14366851,2.0,red
49361043,Bali (Denpasar),8,Education,203751807,24,0.0335,6500000,42861043,707472,0.0165,green
5762491,Makassar,10,Property,770000000,11,0.1414,4200000,1562491,5833333,2.0,red
15392367,Makassar,10,Retirement,1152000000,26,0.1067,4200000,11192367,13128638,1.173,red
42896984,Semarang,9,Emergency Fund,22800000,3,0.0614,3800000,39096984,733163,0.0188,green
6190351,Jakarta Utara,3,Emergency Fund,36000000,4,0.1037,6000000,190351,911630,2.0,red
6734840,Yogyakarta,6,Education,185661159,24,0.103,4000000,2734840,644657,0.2357,green
10457504,Bandung,4,Custom,212085789,30,0.0527,5000000,5457504,2546174,0.4665,yellow
7483607,Surabaya,5,Higher Education,80000000,22,0.112,5500000,1983607,303030,0.1528,green
20492683,Bali (Denpasar),8,Wedding,200000000,12,0.1008,6500000,13992683,2494245,0.1783,green
7385559,Jakarta Utara,3,Custom,162887237,28,0.1107,6000000,1385559,1900414,1.3716,red
54259304,Semarang,9,Property,306000000,3,0.0644,3800000,50459304,8500000,0.1685,green
13596810,Yogyakarta,6,Wedding,30000000,18,0.1,4000000,9596810,334253,0.0348,green
19856670,Surabaya,5,Custom,71472257,28,0.0928,5500000,14356670,833870,0.0581,green
7273538,Semarang,9,Emergency Fund,22800000,7,0.1039,3800000,3473538,381927,0.11,green
5934240,Bandung,4,Education,240841106,23,0.0923,5000000,934240,872613,0.934,red
12598028,Surabaya,5,Education,287286433,6,0.0779,5500000,7098028,3990089,0.5621,red
6123838,Makassar,10,Property,594000000,15,0.1453,4200000,1923838,3300000,1.7153,red
5211706,Medan,7,Emergency Fund,21000000,29,0.1461,3500000,1711706,248387,0.1451,green
20157525,Jakarta Utara,3,Property,1960000000,13,0.095,6000000,14157525,12564103,0.8875,red
38513592,Jakarta Selatan,1,Retirement,936000000,15,0.0626,8500000,30013592,10810427,0.3602,yellow
6131777,Jakarta Utara,3,Custom,82034892,10,0.1233,6000000,131777,1113552,2.0,red
7044841,Jakarta Pusat,2,Custom,103174172,23,0.0982,7500000,0,1148195,1.0,red
7809944,Bali (Denpasar),8,Wedding,200000000,6,0.1315,6500000,1309944,3722488,2.0,red
7251844,Jakarta Utara,3,Emergency Fund,36000000,20,0.1493,6000000,1251844,397995,0.3179,yellow
6741632,Medan,7,Wedding,30000000,25,0.1452,3500000,3241632,338635,0.1045,green
21318143,Semarang,9,Property,459000000,18,0.0764,3800000,17518143,2125000,0.1213,green
5892906,Jakarta Utara,3,Emergency Fund,36000000,11,0.1072,6000000,0,466456,1.0,red
15323578,Bandung,4,Custom,87477985,7,0.0901,5000000,10323578,1465361,0.1419,green
5985994,Surabaya,5,Custom,401583223,9,0.1327,5500000,485994,5768402,2.0,red
6483261,Medan,7,Education,160382625,25,0.1497,3500000,2983261,534609,0.1792,green
20587472,Semarang,9,Emergency Fund,22800000,19,0.1033,3800000,16787472,252695,0.0151,green
5252320,Bali (Denpasar),8,Education,272974227,4,0.0851,6500000,0,5686963,1.0,red
5254513,Jakarta Utara,3,Wedding,30000000,22,0.1207,6000000,0,332416,1.0,red
7723081,Bandung,4,Emergency Fund,30000000,21,0.1045,5000000,2723081,331662,0.1218,green
18376064,Makassar,10,Custom,245503330,15,0.1134,4200000,14176064,2835466,0.2,green
6405982,Makassar,10,Wedding,200000000,9,0.1319,4200000,2205982,2872830,1.3023,red
18750531,Semarang,9,Property,306000000,3,0.0762,3800000,14950531,8500000,0.5685,red
7889668,Surabaya,5,Wedding,200000000,7,0.083,5500000,2389668,3350239,1.402,red
7086233,Semarang,9,Property,306000000,17,0.1166,3800000,3286233,1500000,0.4564,yellow
19413371,Yogyakarta,6,Custom,70450871,14,0.0769,4000000,15413371,830285,0.0539,green
27025236,Yogyakarta,6,Emergency Fund,24000000,23,0.0528,4000000,23025236,267089,0.0116,green
5564363,Makassar,10,Emergency Fund,25200000,20,0.1072,4200000,1364363,278596,0.2042,green
6081035,Bandung,4,Higher Education,150000000,19,0.149,5000000,1081035,657895,0.6086,red
6233620,Jakarta Utara,3,Education,154159764,7,0.1376,6000000,233620,1835235,2.0,red
16273646,Bali (Denpasar),8,Retirement,972000000,25,0.1114,6500000,9773646,10971790,1.1226,red
21664034,Jakarta Pusat,2,Property,1710000000,28,0.1191,7500000,14164034,5089286,0.3593,yellow
7909743,Jakarta Selatan,1,Education,59205467,3,0.1387,8500000,0,1644596,1.0,red
5226077,Jakarta Selatan,1,Wedding,200000000,23,0.1174,8500000,0,2225742,1.0,red
20891813,Makassar,10,Property,396000000,11,0.1095,4200000,16691813,3000000,0.1797,green
7862153,Bandung,4,Property,980000000,4,0.096,5000000,2862153,20416667,2.0,red
5340673,Makassar,10,Higher Education,120000000,5,0.1149,4200000,1140673,2000000,1.7534,red
22782723,Yogyakarta,6,Higher Education,120000000,29,0.1178,4000000,18782723,344828,0.0184,green
12010228,Medan,7,Wedding,80000000,13,0.1029,3500000,8510228,967000,0.1136,green
5409114,Jakarta Pusat,2,Education,209161080,17,0.1045,7500000,0,1025299,1.0,red
23562380,Bandung,4,Property,980000000,30,0.0883,5000000,18562380,2722222,0.1467,green
6570807,Jakarta Selatan,1,Emergency Fund,51000000,12,0.1465,8500000,0,636032,1.0,red
42224070,Bandung,4,Education,205201421,4,0.053,5000000,37224070,4275030,0.1148,green
6900203,Jakarta Utara,3,Custom,107620628,13,0.1176,6000000,900203,1300864,1.4451,red
6922624,Bali (Denpasar),8,Property,1980000000,5,0.1288,6500000,422624,33000000,2.0,red
24596655,Makassar,10,Wedding,30000000,30,0.0657,4200000,20396655,360162,0.0177,green
5095414,Yogyakarta,6,Property,450000000,16,0.0884,4000000,1095414,2343750,2.0,red
6510252,Semarang,9,Custom,332555175,17,0.0865,3800000,2710252,3736385,1.3786,red
12354665,Jakarta Selatan,1,Property,1512000000,5,0.0694,8500000,3854665,25200000,2.0,red
5628048,Bali (Denpasar),8,Education,239988852,16,0.1139,6500000,0,1249942,1.0,red
21212064,Bali (Denpasar),8,Retirement,3480000000,16,0.0593,6500000,14712064,39564602,2.0,red
10457082,Jakarta Pusat,2,Retirement,3960000000,27,0.0813,7500000,2957082,45631133,2.0,red
12734258,Medan,7,Custom,90141948,14,0.0725,3500000,9234258,1062351,0.115,green
6028781,Semarang,9,Retirement,828000000,20,0.1275,3800000,2228781,9153877,2.0,red
6611320,Jakarta Pusat,2,Property,2052000000,12,0.119,7500000,0,14250000,1.0,red
6089247,Makassar,10,Retirement,1944000000,7,0.1225,4200000,1889247,32564324,2.0,red
25263703,Surabaya,5,Custom,269514410,13,0.0376,5500000,19763703,3257754,0.1648,green
7417595,Bali (Denpasar),8,Custom,73235965,10,0.1428,6500000,917595,994114,1.0834,red
24958833,Yogyakarta,6,Emergency Fund,24000000,13,0.0778,4000000,20958833,290100,0.0138,green
53597522,Jakarta Selatan,1,Higher Education,150000000,27,0.0545,8500000,45097522,462963,0.0103,green
18025551,Makassar,10,Emergency Fund,25200000,7,0.0696,4200000,13825551,422130,0.0305,green
5971038,Jakarta Utara,3,Emergency Fund,36000000,19,0.094,6000000,0,398992,1.0,red
20608451,Yogyakarta,6,Retirement,648000000,13,0.0907,4000000,16608451,7832696,0.4716,yellow
15538457,Bali (Denpasar),8,Custom,297014891,4,0.0594,6500000,9038457,7521322,0.8321,red
7429623,Jakarta Selatan,1,Property,2940000000,13,0.0897,8500000,0,18846154,1.0,red
19091528,Jakarta Utara,3,Property,2520000000,30,0.0744,6000000,13091528,7000000,0.5347,red
29350403,Bali (Denpasar),8,Education,95308267,5,0.0795,6500000,22850403,1588471,0.0695,green
50255879,Bali (Denpasar),8,Wedding,30000000,5,0.0714,6500000,43755879,638141,0.0146,green
7443724,Makassar,10,Property,990000000,27,0.1436,4200000,3243724,3055556,0.942,red
16779229,Bali (Denpasar),8,Retirement,720000000,25,0.0764,6500000,10279229,8127252,0.7906,red
18662294,Jakarta Selatan,1,Custom,289335866,23,0.113,8500000,10162294,3219935,0.3169,yellow
46848330,Jakarta Utara,3,Retirement,2520000000,10,0.0516,6000000,40848330,34206787,0.8374,red
12500961,Jakarta Selatan,1,Custom,307917882,8,0.0873,8500000,4000961,4738906,1.1844,red
20604707,Medan,7,Emergency Fund,21000000,24,0.06,3500000,17104707,235164,0.0137,green
17409722,Makassar,10,Higher Education,80000000,17,0.0739,4200000,13209722,392157,0.0297,green
11912330,Bali (Denpasar),8,Wedding,80000000,6,0.0852,6500000,5412330,1488995,0.2751,green
20800548,Jakarta Utara,3,Emergency Fund,36000000,28,0.0986,6000000,14800548,420014,0.0284,green
6037088,Makassar,10,Higher Education,200000000,25,0.104,4200000,1837088,666667,0.3629,yellow
24209250,Makassar,10,Higher Education,120000000,27,0.091,4200000,20009250,370370,0.0185,green
7178287,Bandung,4,Wedding,200000000,10,0.1443,5000000,2178287,2714824,1.2463,red
21568700,Makassar,10,Retirement,1008000000,24,0.0548,4200000,17368700,11287850,0.6499,red
29298377,Surabaya,5,Higher Education,200000000,24,0.0792,5500000,23798377,694444,0.0292,green
14982196,Yogyakarta,6,Custom,229551217,11,0.0863,4000000,10982196,2974322,0.2708,green
13083697,Semarang,9,Property,306000000,22,0.0503,3800000,9283697,1159091,0.1249,green
23797834,Jakarta Pusat,2,Retirement,1920000000,19,0.0826,7500000,16297834,21279581,1.3057,red
10492700,Jakarta Utara,3,Property,1260000000,8,0.0674,6000000,4492700,13125000,2.0,red
5934420,Yogyakarta,6,Education,215884343,9,0.0954,4000000,1934420,1998929,1.0333,red
41064615,Bandung,4,Emergency Fund,30000000,10,0.0507,5000000,36064615,407224,0.0113,green
18930775,Medan,7,Retirement,1116000000,18,0.0799,3500000,15430775,12434199,0.8058,red
10985630,Jakarta Utara,3,Education,183613973,19,0.0817,6000000,4985630,805324,0.1615,green
18394605,Bandung,4,Wedding,30000000,5,0.0627,5000000,13394605,638141,0.0476,green
5812234,Jakarta Pusat,2,Custom,490519146,20,0.1086,7500000,0,5422889,1.0,red
39279457,Semarang,9,Custom,352351735,10,0.0411,3800000,35479457,4782865,0.1348,green
7399748,Jakarta Utara,3,Emergency Fund,36000000,17,0.1421,6000000,1399748,404474,0.289,green
22079725,Bali (Denpasar),8,Higher Education,150000000,18,0.1006,6500000,15579725,694444,0.0446,green
7004255,Surabaya,5,Custom,453351118,9,0.1084,5500000,1504255,6512004,2.0,red
21038569,Surabaya,5,Wedding,200000000,30,0.0519,5500000,15538569,2401079,0.1545,green
23659360,Surabaya,5,Education,256276833,5,0.0739,5500000,18159360,4271281,0.2352,green
14020955,Surabaya,5,Higher Education,80000000,4,0.0742,5500000,8520955,1666667,0.1956,green
32682868,Makassar,10,Property,990000000,26,0.0682,4200000,28482868,3173077,0.1114,green
41487291,Jakarta Selatan,1,Property,1890000000,10,0.0542,8500000,32987291,15750000,0.4775,yellow
16038251,Semarang,9,Retirement,2016000000,28,0.0598,3800000,12238251,23520775,1.9219,red
49192765,Surabaya,5,Education,182415420,12,0.0309,5500000,43692765,1266774,0.029,green
14110828,Jakarta Selatan,1,Higher Education,120000000,14,0.0784,8500000,5610828,714286,0.1273,green
5032987,Surabaya,5,Custom,443250535,10,0.0985,5500000,0,6016737,1.0,red
6899294,Surabaya,5,Wedding,200000000,23,0.0923,5500000,1399294,2225742,1.5906,red
6556753,Jakarta Pusat,2,Retirement,1800000000,23,0.0916,7500000,0,20031677,1.0,red
13680237,Surabaya,5,Retirement,648000000,29,0.1086,5500000,8180237,7664528,0.937,red
6699214,Jakarta Pusat,2,Higher Education,120000000,7,0.1078,7500000,0,1428571,1.0,red
14048668,Bandung,4,Emergency Fund,30000000,13,0.0613,5000000,9048668,362625,0.0401,green
24328545,Jakarta Pusat,2,Education,76649563,11,0.0936,7500000,16828545,580679,0.0345,green
6238381,Bali (Denpasar),8,Custom,84170035,20,0.1104,6500000,0,930534,1.0,red
20420447,Yogyakarta,6,Retirement,2280000000,29,0.0913,4000000,16420447,26967785,1.6423,red
52650475,Semarang,9,Custom,89017345,18,0.0523,3800000,48850475,991810,0.0203,green
50627871,Surabaya,5,Wedding,80000000,8,0.068,5500000,45127871,1231213,0.0273,green
56617733,Makassar,10,Education,59856703,12,0.0326,4200000,52417733,415672,0.0079,green
24990302,Makassar,10,Education,128213714,17,0.0898,4200000,20790302,628499,0.0302,green
14460235,Bali (Denpasar),8,Custom,407903827,22,0.118,6500000,7960235,4519792,0.5678,red
14786507,Makassar,10,Higher Education,150000000,26,0.0951,4200000,10586507,480769,0.0454,green
5361701,Jakarta Pusat,2,Retirement,1584000000,25,0.1419,7500000,0,17879954,1.0,red
18586416,Bali (Denpasar),8,Wedding,80000000,15,0.0878,6500000,12086416,923968,0.0764,green
23289666,Makassar,10,Education,56100195,12,0.1114,4200000,19089666,389585,0.0204,green
25008313,Jakarta Pusat,2,Retirement,1512000000,22,0.077,7500000,17508313,16753766,0.9569,red
5265630,Surabaya,5,Emergency Fund,33000000,17,0.1136,5500000,0,370768,1.0,red
5275098,Medan,7,Property,324000000,5,0.1166,3500000,1775098,5400000,2.0,red
14455043,Jakarta Pusat,2,Higher Education,80000000,27,0.0707,7500000,6955043,246914,0.0355,green
7731017,Semarang,9,Property,459000000,14,0.0877,3800000,3931017,2732143,0.695,red
52929626,Surabaya,5,Higher Education,150000000,26,0.0345,5500000,47429626,480769,0.0101,green
46027946,Jakarta Pusat,2,Emergency Fund,45000000,6,0.0384,7500000,38527946,837560,0.0217,green
7828195,Yogyakarta,6,Wedding,30000000,13,0.1225,4000000,3828195,362625,0.0947,green
5661459,Jakarta Selatan,1,Higher Education,80000000,7,0.147,8500000,0,952381,1.0,red
13244860,Semarang,9,Education,181257875,29,0.1149,3800000,9444860,520856,0.0551,green
7274715,Jakarta Selatan,1,Retirement,720000000,26,0.0908,8500000,0,8205399,1.0,red
10522977,Bandung,4,Education,164358024,26,0.0906,5000000,5522977,526789,0.0954,green
5388545,Semarang,9,Education,265531904,11,0.0831,3800000,1588545,2011605,1.2663,red
7794768,Jakarta Pusat,2,Custom,52286963,29,0.1086,7500000,294768,618449,2.0,red
17438136,Yogyakarta,6,Wedding,200000000,15,0.1173,4000000,13438136,2309920,0.1719,green
42330128,Jakarta Utara,3,Education,185944727,15,0.0712,6000000,36330128,1033026,0.0284,green
7635890,Jakarta Utara,3,Emergency Fund,36000000,3,0.1408,6000000,1635890,1157625,0.7076,red
5481200,Semarang,9,Emergency Fund,22800000,29,0.1451,3800000,1681200,269678,0.1604,green
12379077,Makassar,10,Custom,421617538,12,0.0826,4200000,8179077,5258087,0.6429,red
13429377,Medan,7,Emergency Fund,21000000,4,0.0613,3500000,9929377,531784,0.0536,green
17612016,Medan,7,Wedding,80000000,19,0.0635,3500000,14112016,886649,0.0628,green
11737658,Jakarta Pusat,2,Wedding,80000000,8,0.0944,7500000,4237658,1231213,0.2905,green
5055283,Semarang,9,Custom,226468045,17,0.1474,3800000,1255283,2544455,2.0,red
28587840,Bandung,4,Emergency Fund,30000000,20,0.0387,5000000,23587840,331662,0.0141,green
30823216,Yogyakarta,6,Higher Education,80000000,24,0.0654,4000000,26823216,277778,0.0104,green
10686131,Jakarta Pusat,2,Custom,485995035,6,0.1193,7500000,3186131,9045553,2.0,red
18915938,Medan,7,Property,405000000,17,0.0546,3500000,15415938,1985294,0.1288,green
13787631,Medan,7,Higher Education,120000000,6,0.0812,3500000,10287631,1666667,0.162,green
16770805,Medan,7,Wedding,80000000,22,0.0869,3500000,13270805,886443,0.0668,green
21592342,Bandung,4,Retirement,612000000,14,0.0958,5000000,16592342,7212608,0.4347,yellow
7193810,Surabaya,5,Higher Education,150000000,27,0.1247,5500000,1693810,462963,0.2733,green
14679280,Makassar,10,Custom,385626655,5,0.1126,4200000,10479280,8202803,0.7828,red
6955000,Jakarta Pusat,2,Retirement,1584000000,27,0.1405,7500000,0,18252453,1.0,red
52180890,Jakarta Pusat,2,Retirement,936000000,26,0.0681,7500000,44680890,10667018,0.2387,green
46582761,Semarang,9,Custom,106333606,14,0.0301,3800000,42782761,1253174,0.0293,green
6675238,Semarang,9,Higher Education,120000000,23,0.0913,3800000,2875238,434783,0.1512,green
7392677,Jakarta Selatan,1,Education,220114157,20,0.0808,8500000,0,917142,1.0,red
19000308,Semarang,9,Higher Education,80000000,10,0.1102,3800000,15200308,666667,0.0439,green
21237425,Semarang,9,Property,459000000,17,0.0669,3800000,17437425,2250000,0.129,green
19272336,Bandung,4,Education,131615327,4,0.0742,5000000,14272336,2741986,0.1921,green
23238002,Jakarta Selatan,1,Education,149230819,4,0.1077,8500000,14738002,3108975,0.2109,green
32030068,Makassar,10,Education,60295874,14,0.07,4200000,27830068,358904,0.0129,green
6909291,Jakarta Utara,3,Property,2520000000,9,0.1427,6000000,909291,23333333,2.0,red
14482538,Bali (Denpasar),8,Emergency Fund,39000000,22,0.1163,6500000,7982538,432141,0.0541,green
7444475,Medan,7,Emergency Fund,21000000,8,0.1263,3500000,3944475,323193,0.0819,green
16784774,Jakarta Utara,3,Emergency Fund,36000000,12,0.0529,6000000,10784774,448964,0.0416,green
20872398,Medan,7,Property,810000000,28,0.0955,3500000,17372398,2410714,0.1388,green
6410548,Bali (Denpasar),8,Wedding,80000000,21,0.141,6500000,0,884433,1.0,red
5062583,Jakarta Utara,3,Property,1260000000,30,0.096,6000000,0,3500000,1.0,red
7040685,Yogyakarta,6,Property,700000000,19,0.0821,4000000,3040685,3070175,1.0097,red
50450917,Bali (Denpasar),8,Emergency Fund,39000000,30,0.0513,6500000,43950917,468210,0.0107,green
7962949,Bali (Denpasar),8,Retirement,1656000000,23,0.118,6500000,1462949,18429143,2.0,red
6818566,Jakarta Pusat,2,Custom,174572509,21,0.1355,7500000,0,1929970,1.0,red
6077453,Jakarta Utara,3,Wedding,80000000,5,0.1236,6000000,77453,1701709,2.0,red
16079653,Medan,7,Higher Education,120000000,4,0.0943,3500000,12579653,2500000,0.1987,green
7563155,Semarang,9,Emergency Fund,22800000,17,0.0973,3800000,3763155,256167,0.0681,green
18691223,Bandung,4,Higher Education,80000000,29,0.0915,5000000,13691223,229885,0.0168,green
6197138,Jakarta Utara,3,Custom,314785685,14,0.126,6000000,197138,3709846,2.0,red
7909463,Makassar,10,Higher Education,200000000,12,0.0851,4200000,3709463,1388889,0.3744,yellow
20040856,Semarang,9,Emergency Fund,22800000,10,0.0802,3800000,16240856,309490,0.0191,green
20601658,Yogyakarta,6,Property,540000000,17,0.0617,4000000,16601658,2647059,0.1594,green
17119463,Jakarta Selatan,1,Emergency Fund,51000000,17,0.0994,8500000,8619463,573005,0.0665,green
32204442,Bandung,4,Education,80742702,7,0.0435,5000000,27204442,961223,0.0353,green
26377024,Medan,7,Wedding,200000000,7,0.0412,3500000,22877024,3350239,0.1464,green
6754012,Makassar,10,Education,291279674,13,0.1078,4200000,2554012,1867177,0.7311,red
5969392,Semarang,9,Custom,284778521,25,0.1206,3800000,2169392,3214537,1.4818,red
12094769,Bandung,4,Education,233224730,10,0.0993,5000000,7094769,1943539,0.2739,green
28286525,Bali (Denpasar),8,Higher Education,80000000,17,0.0378,6500000,21786525,392157,0.018,green
7077878,Medan,7,Retirement,1728000000,20,0.1485,3500000,3577878,19103743,2.0,red
7492632,Bali (Denpasar),8,Retirement,792000000,16,0.1338,6500000,992632,9004358,2.0,red
46021334,Surabaya,5,Property,576000000,30,0.0633,5500000,40521334,1600000,0.0395,green
6814862,Semarang,9,Property,765000000,11,0.1407,3800000,3014862,5795455,1.9223,red
5866057,Bandung,4,Higher Education,120000000,6,0.1255,5000000,866057,1666667,1.9244,red
22117689,Jakarta Pusat,2,Custom,246012492,13,0.1115,7500000,14617689,2973675,0.2034,green
5890608,Medan,7,Custom,333593937,28,0.0804,3500000,2390608,3892057,1.6281,red
7086402,Semarang,9,Property,382500000,8,0.1218,3800000,3286402,3984375,1.2124,red
6810346,Makassar,10,Property,495000000,28,0.1332,4200000,2610346,1473214,0.5644,red
54650858,Surabaya,5,Property,720000000,4,0.0707,5500000,49150858,15000000,0.3052,yellow
13691045,Bandung,4,Custom,415843582,20,0.0926,5000000,8691045,4597320,0.529,red
17818512,Surabaya,5,Custom,453521430,23,0.0637,5500000,12318512,5047108,0.4097,yellow
33521880,Jakarta Utara,3,Wedding,80000000,21,0.033,6000000,27521880,884433,0.0321,green
6457615,Surabaya,5,Retirement,3480000000,10,0.0999,5500000,957615,47237944,2.0,red
6831001,Jakarta Pusat,2,Wedding,80000000,27,0.108,7500000,0,921841,1.0,red
11848340,Makassar,10,Custom,369070818,26,0.106,4200000,7648340,4206074,0.5499,red
12778427,Bali (Denpasar),8,Emergency Fund,39000000,24,0.1174,6500000,6278427,436732,0.0696,green
18253398,Bali (Denpasar),8,Custom,478131504,25,0.0869,6500000,11753398,5397077,0.4592,yellow
17727628,Semarang,9,Custom,324941445,28,0.1056,3800000,13927628,3791108,0.2722,green
7717673,Bali (Denpasar),8,Education,113911249,6,0.1047,6500000,1217673,1582101,1.2993,red
7467843,Medan,7,Education,241664034,12,0.1267,3500000,3967843,1678222,0.423,yellow
18799127,Jakarta Selatan,1,Education,168222991,23,0.1016,8500000,10299127,609504,0.0592,green
5070916,Jakarta Utara,3,Retirement,864000000,16,0.1225,6000000,0,9822936,1.0,red
10876819,Semarang,9,Retirement,756000000,20,0.1191,3800000,7076819,8357888,1.181,red
16422994,Medan,7,Retirement,1512000000,21,0.1007,3500000,12922994,16715776,1.2935,red
15058407,Medan,7,Emergency Fund,21000000,10,0.1041,3500000,11558407,285057,0.0247,green
18936261,Semarang,9,Retirement,720000000,9,0.0726,3800000,15136261,10342188,0.6833,red
6557179,Jakarta Pusat,2,Emergency Fund,45000000,29,0.1269,7500000,0,532259,1.0,red
14067212,Bali (Denpasar),8,Higher Education,200000000,28,0.0956,6500000,7567212,595238,0.0787,green
7008461,Medan,7,Higher Education,80000000,5,0.1065,3500000,3508461,1333333,0.38,yellow
16978084,Bali (Denpasar),8,Education,289406321,15,0.0906,6500000,10478084,1607813,0.1534,green
21322567,Medan,7,Higher Education,120000000,27,0.0875,3500000,17822567,370370,0.0208,green
10018550,Bali (Denpasar),8,Higher Education,80000000,25,0.1057,6500000,3518550,266667,0.0758,green
5457248,Surabaya,5,Emergency Fund,33000000,3,0.1316,5500000,0,1061156,1.0,red
17814370,Yogyakarta,6,Custom,439108786,23,0.068,4000000,13814370,4886714,0.3537,yellow
21730421,Jakarta Pusat,2,Emergency Fund,45000000,3,0.0544,7500000,14230421,1447031,0.1017,green
6025024,Semarang,9,Retirement,828000000,13,0.0861,3800000,2225024,10008445,2.0,red
14195553,Makassar,10,Custom,122793895,24,0.092,4200000,9995553,1375078,0.1376,green
24882370,Surabaya,5,Emergency Fund,33000000,17,0.0774,5500000,19382370,370768,0.0191,green
6619198,Jakarta Utara,3,Education,267014173,8,0.1272,6000000,619198,2781398,2.0,red
5635947,Semarang,9,Retirement,1920000000,4,0.1026,3800000,1835947,48620250,2.0,red
7871969,Jakarta Pusat,2,Property,2052000000,24,0.1249,7500000,371969,7125000,2.0,red
6819113,Jakarta Selatan,1,Higher Education,120000000,22,0.1224,8500000,0,454545,1.0,red
15979945,Semarang,9,Education,67043077,4,0.0966,3800000,12179945,1396731,0.1147,green
